count,pp,Freq
319,03N1006045,10
320,03N1006046,8
321,03N1006049,10
322,03N1006050,12
323,03N1006055,9
324,03N1006057,11
325,03N1006059,11
326,03N1006060,12
327,03N1006061,5
328,03N1006062,10
329,03N1006063,5
330,03N1006064,9
331,03N1006069,6
332,03N1006072,11
333,03N1006074,10
334,03N1006075,9
335,03N1006076,10
336,03N1006077,7
337,03N1006078,8
338,03N1006079,11
339,03N1006080,5
340,03N1006082,10
341,03N1006083,10
342,03N1006085,5
343,03N1006086,11
344,03N1006087,10
345,03N1006088,12
346,03N1006089,5
347,03N1006091,5
348,03N1006092,5
349,03N1006093,10
350,03N1006095,10
351,03N1006096,10
352,03N1006099,5
353,03N1006101,10
354,03N1006102,6
355,03N1006103,10
356,03N1006106,5
357,03N1006107,6
358,03N1006109,10
359,03N1006110,5
360,03N1006111,5
361,03N1006112,5
362,03N1006113,11
363,03N1006114,10
364,03N1006115,10
365,03N1006117,6
366,03N1006118,5
367,03N1006119,5
368,03N1006121,11
369,03N1006123,10
370,03N1006124,12
371,03N1006125,7
372,03N1006126,6
373,03N1006127,6
374,03N1006128,9
375,03N1006130,5
376,03N1006131,7
377,03N1006132,8
378,03N1006134,9
379,03N1006135,10
380,03N1006138,10
381,03N1006139,13
382,03N1006140,5
383,03N1006141,8
384,03N1006142,5
385,03N1006144,7
386,03N1006145,9
387,03N1006146,7
388,03N1006147,7
389,03N1006148,13
390,03N1006149,5
391,03N1006150,5
392,03N1006152,11
393,03N1006153,11
394,03N1006154,12
395,03N1006157,5
396,03N1006158,5
397,03N1006160,9
398,03N1006161,7
399,03N1006166,10
400,03N1006167,12
401,03N1006168,10
402,03N1006169,6
403,03N1006170,10
404,03N1006171,5
405,03N1006172,9
406,03N1006176,10
407,03N1006178,6
408,03N1006179,11
409,03N1006181,10
410,03N1006182,10
411,03N1006183,5
412,03N1006184,5
413,03N1006186,11
414,03N1006187,7
415,03N1006189,11
416,03N1006190,11
417,03N1006193,5
418,03N1006195,7
419,03N1006196,10
420,03N1006197,13
421,03N1006198,12
422,03N1006199,6
423,03N1006200,5
424,03N1006201,5
425,03N1006202,9
426,03N1006203,12
427,03N1006204,11
428,03N1006205,10
429,03N1006206,10
430,03N1006207,7
431,03N1006208,6
432,03N1006209,7
433,03N1006210,11
434,03N1006211,7
435,03N1006212,9
436,03N1006213,6
437,03N1006217,6
438,03N1006219,12
439,03N1006221,13
440,03N1006227,7
441,03N1006228,6
442,03N1006229,5
443,03N1006231,5
444,03N1006232,9
445,03N1006233,10
446,03N1006235,9
447,03N1006236,9
448,03N1006237,9
449,03N1006238,6
450,03N1006239,8
451,03N1006240,8
452,03N1006241,5
453,03N1006244,10
454,03N1006245,7
455,03N1006246,10
456,03N1006247,11
457,03N1006248,10
458,03N1006249,11
459,03N1006250,6
460,03N1006253,10
461,03N1006254,10
462,03N1006256,7
463,03N1006258,12
464,03N1006263,10
465,03N1006265,11
466,03N1006266,11
467,03N1006268,11
468,03N1006269,5
469,03N1006270,10
470,03N1006271,6
471,03N1006273,7
472,03N1006275,9
473,03N1006278,10
474,03N1006281,10
475,03N1006282,5
476,03N1006284,7
477,03N1006285,10
478,03N1006286,7
479,03N1006288,12
480,03N1006289,12
481,03N1006290,13
482,03N1006291,10
483,03N1006292,5
484,03N1006293,5
485,03N1006296,10
486,03N1006297,7
487,03N1006298,7
488,03N1006299,12
489,03N1006300,12
490,03N1006303,11
491,03N1006305,6
492,03N1006306,6
493,03N1006307,10
494,03N1006309,10
495,03N1006310,10
496,03N1006312,6
497,03N1006313,5
498,03N1006314,10
499,03N1006319,10
500,03N1006320,10
501,03N1006321,8
502,03N1006324,10
503,03N1006325,11
504,03N1006326,13
505,03N1006329,11
506,03N1006330,9
507,03N1006332,10
508,03N1006333,6
509,03N1006335,6
510,03N1006336,4
511,03N1006341,11
512,03N1006342,11
513,03N1006343,11
514,03N1006345,11
515,03N1006346,11
516,03N1006347,6
517,03N1006348,5
518,03N1006349,5
519,03N1006350,12
520,03N1006351,11
521,03N1006352,12
522,03N1006353,6
523,03N1006354,5
524,03N1006355,6
525,03N1006356,12
526,03N1006357,6
527,03N1006358,10
528,03N1006359,5
529,03N1006361,5
530,03N1006364,10
531,03N1006366,11
532,03N1006367,6
533,03N1006368,6
534,03N1006369,5
535,03N1006370,7
536,03N1006371,13
537,03N1006373,10
538,03N1006375,9
539,03N1006376,7
540,03N1006377,12
541,03N1006378,12
542,03N1006379,11
543,03N1006380,5
544,03N1006382,7
545,03N1006383,11
546,03N1006393,11
547,03N1006394,10
548,03N1006395,11
549,03N1006399,7
550,03N1006401,7
551,03N1006402,7
552,03N1006404,8
553,03N1006407,10
554,03N1006408,10
555,03N1006410,10
556,03N1006412,11
557,03N1006413,12
558,03N1006415,10
559,03N1006416,10
560,03N1006417,11
561,03N1006418,10
562,03N1006420,10
563,03N1006421,10
564,03N1006422,11
565,03N1006423,11
566,03N1006425,12
567,03N1006429,11
568,03N1006430,7
569,03N1006431,11
570,03N1006432,11
571,03N1006433,9
572,03N1006434,8
573,03N1006435,12
574,03N1006436,5
575,03N1006437,7
576,03N1006438,5
577,03N1006439,11
578,03N1006440,11
579,03N1006443,13
580,03N1006444,10
581,03N1006445,10
582,03N1006446,9
583,03N1006448,10
584,03N1006449,5
585,03N1006450,10
586,03N1006451,7
587,03N1006452,10
588,03N1006453,10
589,03N1006454,10
590,03N1006455,9
591,03N1006456,5
592,03N1006458,9
593,03N1006460,11
594,03N1006462,12
595,03N1006463,10
596,03N1006464,10
597,03N1006465,14
598,03N1006468,11
599,03N1006469,6
600,03N1006475,6
601,03N1006479,7
602,03N1006482,11
603,03N1006484,10
604,03N1006486,10
605,03N1006488,10
606,03N1006490,10
607,03N1006491,10
608,03N1006492,10
609,03N1006493,6
610,03N1006494,8
611,03N1006496,13
612,03N1006498,10
613,03N1006499,10
614,03N1006502,6
615,03N1006504,11
616,03N1006505,10
617,03N1006508,11
618,03N1006509,6
619,03N1006511,11
620,03N1006516,5
621,03N1006517,10
622,03N1006520,5
623,03N1006521,5
624,03N1006522,11
625,03N1006523,10
626,03N1006524,12
627,03N1006525,12
628,03N1006526,11
629,03N1006527,11
630,03N1006528,10
631,03N1006530,8
632,03N1006531,6
633,03N1006533,10
634,03N1006535,4
635,03N1006536,5
636,03N1006537,12
637,03N1006539,6
638,03N1006543,7
639,03N1006544,10
640,03N1006549,8
641,03N1006552,10
642,03N1006553,10
643,03N1006554,6
644,03N1006555,9
645,03N1006556,12
646,03N1006557,11
647,03N1006559,10
648,03N1006560,10
649,03N1006561,11
650,03N1006562,10
651,03N1006564,7
652,03N1006565,7
653,03N1006566,5
654,03N1006568,5
655,03N1006569,10
656,03N1006572,5
657,03N1006573,11
658,03N1006574,10
659,03N1006575,11
660,03N1006576,7
661,03N1006577,8
662,03N1006579,12
663,03N1006581,7
664,03N1006583,11
665,03N1006587,8
666,03N1006590,10
667,03N1006591,5
668,03N1006592,10
669,03N1006593,12
670,03N1006594,7
671,03N1006595,12
672,03N1006596,7
673,03N1006597,10
674,03N1006598,9
675,03N1006602,10
676,03N1006603,11
677,03N1006604,10
678,03N1006605,9
679,03N1006606,6
680,03N1006609,10
681,03N1006611,10
682,03N1006613,9
683,03N1006614,10
684,03N1006618,6
685,03N1006619,10
686,03N1006620,12
687,03N1006621,13
688,03N1006622,10
689,03N1006623,10
690,03N1006625,11
691,03N1006626,10
692,03N1006628,10
693,03N1006631,10
694,03N1006632,12
695,03N1006633,7
696,03N1006635,9
697,03N1006636,7
698,03N1006637,10
699,03N1006638,5
700,03N1006639,7
701,03N1006640,6
702,03N1006642,8
703,03N1006646,5
704,03N1006647,11
705,03N1006648,5
706,03N1006649,6
707,03N1006650,10
708,03N1006651,11
709,03N1006653,5
710,03N1006654,13
711,03N1006655,10
712,03N1006656,10
713,03N1006657,6
714,03N1006658,6
715,03N1006659,10
716,03N1006660,10
717,03N1006662,10
718,03N1006663,10
719,03N1006665,13
720,03N1006667,5
721,03N1006668,7
722,03N1006670,5
723,03N1006675,6
724,03N1006676,5
725,03N1006677,6
726,03N1006678,7
727,03N1006682,5
728,03N1006684,7
729,03N1006685,7
730,03N1006686,6
731,03N1006690,6
732,03N1006691,10
733,03N1006692,9
734,03N1006693,5
735,03N1006694,4
736,03N1006695,10
737,03N1006696,10
738,03N1006698,11
739,03N1006702,10
740,03N1006705,10
741,03N1006706,5
742,03N1006707,10
743,03N1006708,13
744,03N1006709,10
745,03N1006711,5
746,03N1006712,11
747,03N1006715,10
748,03N1006716,10
749,03N1006717,11
750,03N1006718,9
751,03N1006719,13
752,03N1006720,10
753,03N1006722,11
754,03N1006723,7
755,03N1006724,8
756,03N1006725,11
757,03N1006726,8
758,03N1006727,7
759,03N1006728,10
760,03N1006729,10
761,03N1006732,9
762,03N1006733,9
763,03N1006734,6
764,03N1006737,10
765,03N1006739,10
766,03N1006740,8
767,03N1006742,8
768,03N1006744,5
769,03N1006745,10
770,03N1006746,11
771,03N1006748,10
772,03N1006749,5
773,03N1006750,5
774,03N1006751,5
775,03N1006752,6
776,03N1006754,6
777,03N1006755,5
778,03N1006756,5
779,03N1006757,6
780,03N1006758,5
781,03N1006759,5
782,03N1006760,7
783,03N1006761,10
784,03N1006762,10
785,03N1006763,5
786,03N1006765,6
787,03N1006767,9
788,03N1006768,8
789,03N1006769,8
790,03N1006770,7
791,03N1006771,5
792,03N1006772,6
793,03N1006774,11
794,03N1006775,5
795,03N1006776,5
796,03N1006777,7
797,03N1006778,10
798,03N1006779,7
799,03N1006782,10
800,03N1006783,9
801,03N1006784,10
802,03N1006787,10
803,03N1006788,5
804,03N1006789,10
805,03N1006790,11
806,03N1006791,10
807,03N1006792,10
808,03N1006793,7
809,03N1006795,5
810,03N1006797,5
811,03N1006798,10
812,03N1006799,10
813,03N1006801,10
814,03N1006802,10
815,03N1006803,10
816,03N1006804,6
817,03N1006805,6
818,03N1006806,10
819,03N1006807,10
820,03N1006808,6
821,03N1006809,10
822,03N1006810,10
823,03N1006811,12
824,03N1006813,12
825,03N1006816,10
826,03N1006817,11
827,03N1006818,12
828,03N1006819,10
829,03N1006821,5
830,03N1006822,5
831,03N1006824,11
832,03N1006825,10
833,03N1006826,14
834,03N1006827,7
835,03N1006829,5
836,03N1006830,5
837,03N1006831,5
838,03N1006833,11
839,03N1006834,5
840,03N1006835,5
841,03N1006836,5
842,03N1006837,6
843,03N1006838,10
844,03N1006839,10
845,03N1006841,10
846,03N1006843,5
847,03N1006844,5
848,03N1006845,5
849,03N1006846,12
850,03N1006847,8
851,03N1006849,8
852,03N1006850,5
853,03N1006852,5
854,03N1006853,5
855,03N1006854,6
856,03N1006857,5
857,03N1006858,6
858,03N1006860,11
859,03N1006861,11
860,03N1006862,11
861,03N1006864,11
862,03N1006866,10
863,03N1006867,6
864,03N1006868,6
865,03N1006872,6
866,03N1006873,5
867,03N1006874,5
868,03N1006875,6
869,03N1006877,10
870,03N1006879,6
871,03N1006880,5
872,03N1006882,5
873,03N1006884,7
874,03N1006886,6
875,03N1006887,10
876,03N1006888,9
877,03N1006892,10
878,03N1006893,12
879,03N1006894,11
880,03N1006895,10
881,03N1006896,10
882,03N1006897,5
883,03N1006901,10
884,03N1006902,11
885,03N1006903,10
886,03N1006904,10
887,03N1006905,10
888,03N1006906,5
889,03N1006909,13
890,03N1006911,10
891,03N1006912,11
892,03N1006913,5
893,03N1006915,8
894,03N1006919,10
895,03N1006920,6
896,03N1006922,11
897,03N1006923,10
898,03N1006924,4
899,03N1006928,7
900,03N1006929,7
901,03N1006931,5
902,03N1006932,5
903,03N1006933,7
904,03N1006934,5
905,03N1006938,10
906,03N1006942,10
907,03N1006943,11
908,03N1006944,7
909,03N1006946,12
910,03N1006947,12
911,03N1006948,11
912,03N1006951,9
913,03N1006954,13
914,03N1006956,11
915,03N1006959,10
916,03N1006960,5
917,03N1006966,11
918,03N1006969,6
919,03N1006970,7
920,03N1006971,9
921,03N1006972,12
922,03N1006973,10
923,03N1006978,10
924,03N1006984,13
925,03N1006986,8
926,03N1006988,7
927,03N1006989,12
928,03N1006993,5
929,03N1006995,5
930,03N1006996,8
931,03N1006997,5
932,03N1006998,5
933,03N1006999,10
934,03N1007000,6
935,03N1007003,10
936,03N1007004,8
937,03N1007007,8
938,03N1007008,5
939,03N1007009,6
940,03N1007011,10
941,03N1007014,6
942,03N1007015,10
943,03N1007016,8
